DATA;PRODUTIVIDADE_FINAL_%;PERDA_FINAL_%;TOTAL_DE_DIAS_SEM_CHUVA;CHUVA_DO_PERÍODO_(mm);TEMPERATURA_MÉDIA_C;MAIOR_TEMPERATURA_MÁXIMA_C;MENOR_TEMPERATURA_MÍNIMA_C
01/11/2019;0,8705;0,1295;74;650,14;13,06;29,2;0,6
01/12/2019;0,7773;0,2227;78;602,84;15,3;31,5;1,4
01/01/2020;0,6306;0,3694;84;445,34;18;37;2,1
01/02/2020;0,1775;0,8225;82;414,04;20,37;37;9,3
01/03/2020;0,1846;0,8154;89;187,8;21,74;37;9,3
01/04/2020;0,2128;0,7872;89;155,3;22,22;37;9,3
01/05/2020;0,1401;0,8599;86;212,6;21,52;32,2;9,7
01/06/2020;0,3818;0,6182;74;359,99;17,39;33,6;4,9
01/07/2020;0,6468;0,3532;71;434,51;14,34;30,9;0,5
01/08/2020;0,813;0,187;55;343,97;12,9;28,2;0,5
