DATA;PRODUTIVIDADE_FINAL_%;PERDA_FINAL_%;TOTAL_DE_DIAS_SEM_CHUVA;CHUVA_DO_PERÍODO_(mm);TEMPERATURA_MÉDIA_C;MAIOR_TEMPERATURA_MÁXIMA_C;MENOR_TEMPERATURA_MÍNIMA_C
01/11/2019;0,4479;0,5521;81;358;16,1;38;-1,7
01/12/2019;0,3251;0,6749;80;436,8;18,81;38;0,4
01/01/2020;0,583;0,417;80;539,4;21,26;38;3,2
01/02/2020;0,4426;0,5574;80;663;23,46;38;8,8
01/03/2020;0,2568;0,7432;86;564,8;24,44;38,2;10,1
01/04/2020;0,3439;0,6561;92;397,6;24,92;39,6;
01/05/2020;0,2331;0,7669;92;351;23,83;39,6;5,6
01/06/2020;0,2601;0,7399;91;500,6;21,45;39,6;5
01/07/2020;0,2887;0,7113;83;489;19,22;39,6;1,8
01/08/2020;0,691;0,309;80;466,2;15,93;35,1;-0,6
